Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#329,Abilene Christian University,Abilene,TX,44200,"3,233",66%
#329,Clark Atlanta University,Atlanta,GA,30270,"3,618",64%
#329,Concordia University Wisconsin,Mequon,WI,,"2,401",78%
#329,Eastern Kentucky University,RIchmond,KY,23500,"13,448",97%
#329,Ferris State University,Big Rapids,MI,15196,"8,989",92%
#329,Husson University,Bangor,ME,25326,"2,762",83%
#329,Indiana University of Pennsylvania,Indiana,PA,15322,"7,353",91%
#329,Morgan State University,Baltimore,MD,19456,"9,027",82%
#329,Radford University,Radford,VA,26266,"6,161",90%
#329,Texas Woman's University,Denton,TX,22840,"10,034",96%
#329,University of Hawaii at Hilo,Hilo,HI,,"2,292",60%
#329,University of Lynchburg,Lynchburg,VA,38150,"1,595",43%
#329,University of Tennessee at Chattanooga,Chattanooga,TN,19068,"10,203",81%
#329,The University of Texas at Tyler,Tyler,TX,25184,"7,683",94%
#343,Campbell University,Buies Creek,NC,42830,"2,699",87%
#343,Cleveland State University,Cleveland,OH,19046,"9,418",91%
#343,Georgia Southern University,Statesboro,GA,21784,"23,618",88%
#343,Lincoln Memorial University,Harrogate,TN,26938,"1,605",63%
#343,Mount St. Joseph University,Cincinnati,OH,39650,"1,545",59%
#343,Pontifical Catholic University of Puerto Rico--Ponce,Ponce,PR,6650,"3,963",98%
#343,Prairie View A&M University,Prairie View,TX,22590,"8,836",78%
#343,University of Mary,Bismarck,ND,22356,"2,650",75%
#343,University of Northern Colorado,Greeley,CO,28370,"6,480",94%
#352,Alvernia University,Reading,PA,46850,"2,192",58%
#352,Arkansas State University,State University,AR,,"9,985",82%
#352,Clarke University,Dubuque,IA,42420,815,72%
#352,St. Ambrose University,Davenport,IA,38113,"1,939",77%
#352,Texas A & M University-Kingsville,Kingsville,TX,22948,"5,386",91%
#352,University of Wisconsin-Oshkosh,Oshkosh,WI,,"11,994",86%
#358,Carson-Newman University,Jefferson City,TN,38700,"1,606",90%
#358,Daemen University,Amherst,NY,38874,"1,656",74%
#358,Mississippi College,Clinton,MS,23500,"2,706",29%
#358,Missouri State University,Springfield,MO,18770,"19,259",91%
#358,University of Louisiana at Monroe,Monroe,LA,,"6,762",85%
#363,Indiana State University,Terre Haute,IN,22926,"6,224",92%
#363,Jackson State University,Jackson,MS,13635,"4,650",93%
#363,Keiser University,Fort Lauderdale,FL,39189,"18,452",97%
#363,Southern Illinois University Edwardsville,Edwardsville,IL,28082,"8,945",97%
#363,Trevecca Nazarene University,Nashville,TN,31300,"1,903",69%
#363,University of Central Arkansas,Conway,AR,18746,"8,268",89%
#363,University of Montana,Missoula,MT,33664,"8,014",96%
#363,University of South Alabama,Mobile,AL,23260,"9,241",71%
#363,Walsh University,North Canton,OH,37100,"1,523",73%
#363,Western Kentucky University,Bowling Green,KY,27000,"14,151",94%
#373,Eastern Michigan University,Ypsilanti,MI,16598,"10,470",80%
#373,Kennesaw State University,Kennesaw,GA,22278,"42,840",69%
#373,Long Island University,Brookville,NY,42432,"11,753",86%
#373,Regent University,Virginia Beach,VA,22740,"5,049",52%
#373,Tarleton State University,Stephenville,TX,22480,"15,130",53%
#373,The University of Akron,Akron,OH,21440,"11,160",60%
#373,University of Findlay,Findlay,OH,41400,"4,062",84%
#373,University of Louisiana at Lafayette,Lafayette,LA,24146,"13,432",87%
#373,University of West Georgia,Carrollton,GA,21850,"9,157",52%
#373,William Carey University,Hattiesburg,MS,15480,"3,113",60%
#373,Wingate University,Wingate,NC,42926,"2,673",91%
#384,Baker University,Baldwin City,KS,35900,"1,264",94%
#384,Briar Cliff University,Sioux City,IA,36956,737,N/A
#384,Capitol Technology University,Laurel,MD,27608,319,74%
#384,Dallas Baptist University,Dallas,TX,41870,"2,785",89%
#384,East Texas A&M University,Commerce,TX,22186,"9,666",75%
#384,Gardner-Webb University,Boiling Springs,NC,34760,"1,840",77%
#384,Mary Baldwin University,Staunton,VA,35357,"1,125",80%
#384,Northern Kentucky University,Highland Heights,KY,22752,"10,163",83%
#384,Palm Beach Atlantic University,West Palm Beach,FL,42250,"3,312",82%
#384,University of Arkansas--Little Rock,Little Rock,AR,22158,"5,789",59%
#384,University of Michigan--Flint,Flint,MI,28426,"5,011",70%
#395-434,Alabama State University,Montgomery,AL,19396,"3,521",98%
#395-434,American International College,Springfield,MA,44230,"1,331",100%
#395-434,Barry University,Miami Shores,FL,35600,"3,232",77%
#395-434,Belhaven University,Jackson,MS,31470,"1,614",50%
#395-434,Brenau University,Gainesville,GA,35520,"1,273",88%
#395-434,Colorado Technical University,Colorado Springs,CO,12750,"26,114",N/A
#395-434,Grand Canyon University,Phoenix,AZ,17850,"70,929",79%
#395-434,Hardin-Simmons University,Abilene,TX,34260,"1,291",87%
